sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5
HG02861	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-61.4998	15.6469	1.0998	-1.7098	0.1409
HG00580	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	8.1663	41.9646	0.4118	-5.7091	2.9853
HG03782	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.0630	6.4906	23.0189	5.5817	2.6965
NA12399	EUR	EUR	0.0000	0.0000	0.0014	0.0000	0.9986	-0.5847	-14.3478	-2.3532	-6.3876	0.3481
NA19716	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	-0.1633	8.1219	-10.7849	16.7930	4.1244
HG03792	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.2033	5.0276	20.3947	6.2704	5.6069
HG03126	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.8672	17.0711	2.6314	0.0059	2.3827
HG01918	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	6.6607	17.0936	-20.0382	29.7042	3.0766
HG03280	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-63.9410	17.0975	2.6010	-0.3848	1.5321
NA20798	EUR	EUR	0.0000	0.0000	0.0009	0.0000	0.9991	-1.9810	-13.3938	-1.8828	-8.2924	9.0277
NA19043	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-59.6938	16.5087	2.8177	0.5508	-1.2154
HG01682	EUR	EUR	0.0000	0.0000	0.0017	0.0000	0.9983	-0.8910	-15.4433	-3.5131	-9.4199	5.3891
HG01485	AMR	AMR	0.0000	0.1296	0.8704	0.0000	0.0000	-22.0833	8.4006	-4.9413	7.1100	6.5558
HG00269	EUR	EUR	0.0000	0.0000	0.0004	0.0000	0.9996	2.4175	-9.9645	-2.3040	-6.4509	-5.4723
HG03301	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-63.3467	17.6884	4.2114	0.0685	3.8818
HG04176	SAS	SAS	0.0001	0.0000	0.0000	0.9999	0.0000	-1.0848	11.5507	18.3227	2.8194	-0.2323
HG01618	EUR	EUR	0.0000	0.0000	0.0010	0.0000	0.9990	-1.1683	-12.2826	-1.2462	-7.2317	2.7740
HG03911	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.3456	8.3454	19.5930	3.0079	1.5168
